Bird ID,Lab ID,Species Name,Final Result,Virus Isolated,Date Received,COUNTY,COUNTRY,speciesName,birdFamily,Order,originalReportedOSRef,originalOSEasting,originalOSNorthing,Case Ref Number,Index Bird,Case Ref Name,Town,District,County,Country,Species,Test date,Date PHE informed,High Path,Postcode,Comment,date,easting,northing,latitude,longitude,osGridRef
NA,AV000614-22,NA,NA,H5Nx,NA,NA,NA,CANADA GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB132,N,Birmingham,Birmingham,Birmingham City Council,West Midlands,England,Canada Goose,2022-02-10T00:00:00Z,NA,Yes,N/A,NA,2022-02-06,NA,NA,NA,NA,N/A
NA,AV000611-22,NA,NA,H5N1,NA,NA,NA,COMMON BUZZARD,kites/hawks/eagles,Accipitriformes,NA,NA,NA,WB134,N,Crewe,Crewe,Cheshire East,Cheshire,England,Common Buzzard,2022-02-10T00:00:00Z,NA,Yes,CW1 4JX,NA,2022-02-07,368304,358443,53.122211,-2.4750808,SJ6830458443
NA,AV000625-22,NA,NA,H5N1,NA,NA,NA,PINK FOOTED GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB179,N,Leuchlands Croft,Whitecairns,Aberdeenshire,Aberdeenshire,Scotland,Pink Footed Goose,2022-02-10T00:00:00Z,NA,Yes,AB23 8UT,NA,2022-02-05,392633,814496,57.22115,-2.123632,NJ9263314496
NA,AV000625-22,NA,NA,H5N1,NA,NA,NA,PINK FOOTED GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB179,N,Leuchlands Croft,Whitecairns,Aberdeenshire,Aberdeenshire,Scotland,Pink Footed Goose,2022-02-10T00:00:00Z,NA,Yes,AB23 8UT,NA,2022-02-05,392633,814496,57.22115,-2.123632,NJ9263314496
NA,AV000625-22,NA,NA,H5N1,NA,NA,NA,PINK FOOTED GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB179,N,Leuchlands Croft,Whitecairns,Aberdeenshire,Aberdeenshire,Scotland,Pink Footed Goose,2022-02-10T00:00:00Z,NA,Yes,AB23 8UT,NA,2022-02-05,392633,814496,57.22115,-2.123632,NJ9263314496
NA,AV000626-22,NA,NA,H5N1,NA,NA,NA,COMMON BUZZARD,kites/hawks/eagles,Accipitriformes,NA,NA,NA,WB192,Y,Auchnagatt,Ellon,Aberdeenshire,Aberdeenshire,Scotland,Common Buzzard,2022-02-10T00:00:00Z,NA,Yes,AB41 8UW,NA,2022-02-05,394512,838663,57.438262,-2.0930658,NJ9451238663
NA,AV000626-22,NA,NA,H5N1,NA,NA,NA,PINK FOOTED GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB192,Y,Auchnagatt,Ellon,Aberdeenshire,Aberdeenshire,Scotland,Pink Footed Goose,2022-02-10T00:00:00Z,NA,Yes,AB41 8UW,NA,2022-02-05,394512,838663,57.438262,-2.0930658,NJ9451238663
NA,AV000627-22,NA,NA,H5N1,NA,NA,NA,PINK FOOTED GOOSE,ducks/geese/swans,Anseriformes,NA,NA,NA,WB109,N,Kintore,Kintore,Aberdeenshire,Aberdeenshire,Scotland,Pink Footed Goose,2022-02-10T00:00:00Z,NA,Yes,AB51 0XE,NA,2022-02-02,377652,812755,57.205021,-2.3715463,NJ7765212755
NA,AV000638-22,NA,NA,H5N1,NA,NA,NA,COMMON BUZZARD,kites/hawks/eagles,Accipitriformes,NA,NA,NA,WB97,N,Witherslack,Grane Over Sands,South Lakeland District Council,Cumbria,England,Common Buzzard,2022-02-10T00:00:00Z,NA,Yes,LA11 6SL,NA,2022-02-01,345300,482100,54.231671,-2.8406336,SD4530082100
NA,AV000636-22,NA,NA,H5N1,NA,NA,NA,COMMON BUZZARD,kites/hawks/eagles,Accipitriformes,NA,NA,NA,WB193,Y,Sutton upon Derwent,Bridlington,East Riding of Yorkshire,East Riding of Yorkshire,England,Common Buzzard,2022-02-10T00:00:00Z,NA,Yes,YO41 4BJ,NA,2022-02-04,471082,448181,53.924895,-0.91904536,SE7108248181
