,reportDate,infDate,confDate,cullStart,cullEnd
280,2022-06-04,2022-05-29,2022-06-07,,
281,2022-05-31,2022-05-23,2022-06-01,,
282,2022-05-29,,,,
283,2022-05-27,,,,
284,2022-05-26,2022-05-20,2022-05-30,,
285,2022-05-23,,,,
286,2022-05-20,,,,
287,2022-05-18,2022-05-14,2022-05-19,,
288,2022-05-13,,,,
289,2022-05-06,2022-05-01,2022-05-07,,
290,2022-05-06,,,,
291,2022-05-04,,,,
292,2022-05-01,,,,
293,2022-04-30,,,,
294,2022-04-25,,,,
295,2022-04-22,,,,
296,2022-04-21,2022-04-09,2022-04-22,,
297,2022-04-17,,,,
298,2022-04-16,,,,
299,2022-04-16,,,,
300,2022-04-14,,,,
301,2022-04-14,,,,
302,2022-04-12,2022-04-08,2022-04-13,,
303,2022-04-11,,,,
304,2022-04-09,,,,
305,2022-04-08,,,,
306,2022-04-07,,,,
307,2022-04-06,2022-03-28,2022-04-08,,
308,2022-04-05,2022-04-02,2022-04-08,,
309,2022-04-05,2022-03-31,2022-04-06,,
310,2022-04-05,2022-03-30,2022-04-07,,
311,2022-04-05,,,,
312,2022-04-04,2022-03-15,2022-04-06,,
313,2022-04-03,,,,
314,2022-04-02,,,,
315,2022-03-30,,,,
316,2022-03-28,2022-03-21,2022-03-30,,
317,2022-03-27,,,,
318,2022-03-27,2022-03-22,2022-03-28,,
319,2022-03-24,2022-03-20,2022-03-23,,
320,2022-03-21,,,,
321,2022-03-21,,,,
322,2022-03-19,2022-03-14,2022-03-20,,
323,2022-03-19,,,,
324,2022-03-17,2022-03-06,2022-03-19,,
325,2022-03-16,2021-02-24,2022-03-18,,
326,2022-03-14,,,,
327,2022-03-11,,,,
328,2022-03-10,2022-02-25,2022-03-12,,
329,2022-03-10,,,,
330,2022-03-10,2022-03-07,2022-03-11,,
331,2022-03-09,,,,
332,2022-03-08,2022-02-27,2022-03-11,,
333,2022-03-08,,,,
334,2022-03-08,,,,
335,2022-03-07,,,,
336,2022-03-06,,,,
337,2022-03-03,,,,
338,2022-02-28,2022-02-23,2022-03-01,,
339,2022-02-25,2022-09-02,2022-02-25,,
340,2022-02-25,,,,
341,2022-02-24,2021-12-24,2022-02-26,,
342,2022-02-24,,,,
343,2022-02-22,,,,
344,2022-02-22,,,,
345,2022-02-20,2022-02-16,2022-02-21,,
346,2022-02-20,2022-02-15,2022-02-21,,
347,2022-02-20,2022-02-16,2022-02-23,,
348,2022-02-20,,,,
349,2022-02-20,2022-02-15,2022-02-21,,
350,2022-02-11,2022-06-02,2022-02-14,,
351,2022-02-07,2022-02-03,2022-02-07,,
352,2022-02-07,,,,
353,2022-02-03,2022-01-31,2022-02-05,,
354,2022-02-03,2022-01-26,2022-02-04,,
355,2022-02-02,,,,
356,2022-01-31,,,,
357,2022-01-30,,,,
358,2022-01-29,,,,
359,2022-01-28,,,,
360,2022-01-27,2022-01-22,2022-01-28,,
361,2022-01-27,2022-01-23,2022-01-28,,
362,2022-01-25,2022-01-21,2022-01-26,,
363,2022-01-23,2022-01-18,2022-01-25,,
364,2022-01-23,,,,
365,2022-01-21,,,,
366,2022-01-21,,,,
367,2022-01-21,2021-11-22,2022-01-22,,
368,2022-01-20,2022-01-16,2022-01-22,,
369,2022-01-20,,,,
370,2022-01-19,2022-01-14,2022-01-20,,
371,2022-01-18,,,,
372,2022-01-17,,,,
373,2022-01-14,,,,
374,2022-01-12,2022-01-07,2022-01-13,2022-01-16,
375,2022-01-12,2022-01-07,2022-01-13,2022-01-16,
376,2022-01-10,,,,
377,2022-01-09,,,,
378,2022-01-08,2022-01-03,2022-01-09,,
379,2022-01-08,,,,
380,2022-01-07,,,,
381,2022-01-07,,,,
382,2022-01-06,2021-12-22,2022-01-07,2022-01-09,
383,2022-01-05,,,,
384,2022-01-04,,,,
385,2022-01-04,,,,
386,2022-01-04,2021-12-31,2022-01-05,,
387,2022-01-03,2021-12-26,2022-01-04,,
388,2022-01-01,,,,
389,2022-01-01,,,,
390,2022-01-01,,,,
391,2022-01-01,2021-12-28,2022-01-03,,
392,2021-12-31,2021-12-26,2022-01-02,,
393,2021-12-30,,,,
394,2021-12-30,2021-12-25,2021-12-31,,
395,2021-12-29,,,,
396,2021-12-29,,,,
397,2021-12-29,,,,
398,2021-12-29,2021-12-25,2021-12-30,2021-12-31,
399,2021-12-29,2021-12-21,2021-12-31,2022-01-01,
400,2021-12-29,,,,
401,2021-12-29,,,,
402,2021-12-28,,,,
403,2021-12-27,,,,
404,2021-12-27,,,,
405,2021-12-27,2021-12-21,2021-12-28,,
406,2021-12-27,2021-12-23,2021-12-28,2022-01-03,
407,2021-12-23,,,,
408,2021-12-22,,,,
409,2021-12-21,2021-12-14,2021-12-22,2022-01-03,
410,2021-12-21,2021-12-11,2021-12-22,2021-12-23,
411,2021-12-21,,,,
412,2021-12-20,,,,
413,2021-12-20,,,,
414,2021-12-17,2021-12-12,2021-12-18,2021-12-20,
415,2021-12-17,,,,
416,2021-12-16,2021-12-10,2021-12-18,2021-12-22,
417,2021-12-15,2021-12-10,2021-12-17,2021-12-23,
418,2021-12-15,2021-12-09,2021-12-16,2021-12-21,
419,2021-12-14,2021-12-08,2021-12-16,2021-12-22,
420,2021-12-14,2021-12-09,2021-12-16,2021-12-31,
421,2021-12-14,2021-12-10,2021-12-15,2021-12-17,
422,2021-12-14,2021-12-09,2021-12-15,2021-12-16,
423,2021-12-13,2021-12-08,2021-12-15,2021-01-16,
424,2021-12-13,2021-12-09,2021-12-14,2021-12-14,
425,2021-12-12,2021-12-07,2021-12-14,2021-12-21,
426,2021-12-12,2021-12-08,2021-12-14,2021-12-16,
427,2021-12-11,2021-12-05,2021-12-14,,
428,2021-12-11,2021-12-05,2021-12-12,2021-12-20,
429,2021-12-11,,,,
430,2021-12-11,2021-12-07,2021-12-13,2021-12-17,
431,2021-12-10,,,,
432,2021-12-10,,,,
433,2021-12-10,2021-11-26,2021-12-11,2021-12-14,
434,2021-12-09,2021-12-02,2021-12-11,2021-12-16,
435,2021-12-09,2021-12-05,2021-12-10,2021-12-13,
436,2021-12-09,2021-11-28,2021-12-11,2021-12-18,
437,2021-12-09,2021-12-04,2021-12-10,2021-12-11,
438,2021-12-09,2021-12-02,2021-12-10,2021-12-13,
439,2021-12-08,,,,
440,2021-12-08,2021-12-03,2021-12-09,2021-12-14,
441,2021-12-08,2021-12-03,2021-12-09,2021-12-14,
442,2021-12-07,2021-12-02,2021-12-08,2021-12-12,
443,2021-12-06,,,,
444,2021-12-06,2021-11-30,2021-12-08,2021-12-12,
445,2021-12-05,2021-11-28,2021-12-07,2021-12-11,
446,2021-12-05,,,,
447,2021-12-05,2021-11-30,2021-12-06,2021-12-10,
448,2021-12-05,2021-11-29,2021-12-06,2021-12-11,
449,2021-12-04,,,,
450,2021-12-04,,,,
451,2021-12-04,2021-11-28,2021-12-05,2021-12-12,
